Episode   297 | score=  1828 | reward=   18.28 | moves= 172 | max_tile=  128
Episode   298 | score=   284 | reward=    2.84 | moves=  53 | max_tile=   32
Episode   299 | score=   664 | reward=    6.64 | moves=  88 | max_tile=   64
Episode   300 | score=   484 | reward=    4.84 | moves=  78 | max_tile=   32
Episode   300: avg score=  1155.9 | avg reward=    11.6 | best tile= 256 | epsilon=0.165
Episode   301 | score=   816 | reward=    8.16 | moves= 105 | max_tile=   64
Episode   302 | score=   984 | reward=    9.84 | moves= 101 | max_tile=  128
Episode   303 | score=  1468 | reward=   14.68 | moves= 152 | max_tile=  128
Episode   304 | score=  1364 | reward=   13.64 | moves= 142 | max_tile=  128
Episode   305 | score=  1148 | reward=   11.48 | moves= 125 | max_tile=  128
Episode   306 | score=  1752 | reward=   17.52 | moves= 160 | max_tile=  128
Episode   307 | score=  2336 | reward=   23.36 | moves= 195 | max_tile=  256
Episode   308 | score=   904 | reward=    9.04 | moves= 110 | max_tile=   64
Episode   309 | score=  1032 | reward=   10.32 | moves= 112 | max_tile=  128
Episode   310 | score=  1520 | reward=   15.20 | moves= 151 | max_tile=  128
Episode   311 | score=  1028 | reward=   10.28 | moves= 111 | max_tile=  128
Episode   312 | score=   988 | reward=    9.88 | moves= 117 | max_tile=   64
Episode   313 | score=  1180 | reward=   11.80 | moves= 119 | max_tile=  128
Episode   314 | score=  1448 | reward=   14.48 | moves= 150 | max_tile=  128
Episode   315 | score=  1424 | reward=   14.24 | moves= 150 | max_tile=  128
Episode   316 | score=  1296 | reward=   12.96 | moves= 135 | max_tile=  128
Episode   317 | score=   716 | reward=    7.16 | moves=  94 | max_tile=   64
Episode   318 | score=   952 | reward=    9.52 | moves= 119 | max_tile=   64
Episode   319 | score=  1308 | reward=   13.08 | moves= 133 | max_tile=  128
Episode   320 | score=  2304 | reward=   23.04 | moves= 192 | max_tile=  256
Episode   321 | score=   524 | reward=    5.24 | moves=  71 | max_tile=   64
Episode   322 | score=   576 | reward=    5.76 | moves=  78 | max_tile=   64
Episode   323 | score=   604 | reward=    6.04 | moves=  85 | max_tile=   64
Episode   324 | score=  1388 | reward=   13.88 | moves= 148 | max_tile=  128
Episode   325 | score=  1208 | reward=   12.08 | moves= 123 | max_tile=  128
Episode   326 | score=   736 | reward=    7.36 | moves= 101 | max_tile=   64
Episode   327 | score=   896 | reward=    8.96 | moves= 110 | max_tile=   64
Episode   328 | score=  2160 | reward=   21.60 | moves= 202 | max_tile=  128
Episode   329 | score=  2556 | reward=   25.56 | moves= 220 | max_tile=  256
Episode   330 | score=  2444 | reward=   24.44 | moves= 209 | max_tile=  256
Episode   331 | score=  1596 | reward=   15.96 | moves= 161 | max_tile=  128
Episode   332 | score=  1456 | reward=   14.56 | moves= 149 | max_tile=  128
Episode   333 | score=  2072 | reward=   20.72 | moves= 175 | max_tile=  256
Episode   334 | score=  3140 | reward=   31.40 | moves= 262 | max_tile=  256
Episode   335 | score=  1368 | reward=   13.68 | moves= 142 | max_tile=  128
Episode   336 | score=  2208 | reward=   22.08 | moves= 189 | max_tile=  256
Episode   337 | score=   724 | reward=    7.24 | moves=  95 | max_tile=   64
Episode   338 | score=   444 | reward=    4.44 | moves=  73 | max_tile=   32
Episode   339 | score=  2320 | reward=   23.20 | moves= 195 | max_tile=  256
Episode   340 | score=   500 | reward=    5.00 | moves=  72 | max_tile=   64
Episode   341 | score=  2132 | reward=   21.32 | moves= 178 | max_tile=  256
Episode   342 | score=   608 | reward=    6.08 | moves=  81 | max_tile=   64
Episode   343 | score=  1384 | reward=   13.84 | moves= 146 | max_tile=  128
Episode   344 | score=  1176 | reward=   11.76 | moves= 127 | max_tile=  128
