Episode  235 | score=  1488 | reward=   14.88 | moves= 153 | max_tile=  128 | eps=0.494
Episode  236 | score=  1148 | reward=   11.48 | moves= 121 | max_tile=  128 | eps=0.492
Episode  237 | score=   776 | reward=    7.76 | moves=  96 | max_tile=   64 | eps=0.491
Episode  238 | score=  2440 | reward=   24.40 | moves= 208 | max_tile=  256 | eps=0.489
Episode  239 | score=  1532 | reward=   15.32 | moves= 150 | max_tile=  128 | eps=0.488
Episode  240 | score=   696 | reward=    6.96 | moves=  94 | max_tile=   64 | eps=0.486
Episode  241 | score=  1420 | reward=   14.20 | moves= 145 | max_tile=  128 | eps=0.485
Episode  242 | score=   784 | reward=    7.84 | moves=  99 | max_tile=   64 | eps=0.483
Episode  243 | score=  2124 | reward=   21.24 | moves= 198 | max_tile=  128 | eps=0.482
Episode  244 | score=  1024 | reward=   10.24 | moves= 105 | max_tile=  128 | eps=0.480
Episode  245 | score=  1452 | reward=   14.52 | moves= 152 | max_tile=  128 | eps=0.479
Episode  246 | score=   680 | reward=    6.80 | moves=  89 | max_tile=   64 | eps=0.478
Episode  247 | score=   680 | reward=    6.80 | moves=  92 | max_tile=   64 | eps=0.476
Episode  248 | score=  2352 | reward=   23.52 | moves= 198 | max_tile=  256 | eps=0.475
Episode  249 | score=  1312 | reward=   13.12 | moves= 134 | max_tile=  128 | eps=0.473
Episode  250 | score=  1336 | reward=   13.36 | moves= 140 | max_tile=  128 | eps=0.472
Episode  251 | score=  1220 | reward=   12.20 | moves= 128 | max_tile=  128 | eps=0.470
Episode  252 | score=  1356 | reward=   13.56 | moves= 141 | max_tile=  128 | eps=0.469
Episode  253 | score=  1316 | reward=   13.16 | moves= 135 | max_tile=  128 | eps=0.468
Episode  254 | score=  1160 | reward=   11.60 | moves= 127 | max_tile=  128 | eps=0.466
Episode  255 | score=  1228 | reward=   12.28 | moves= 129 | max_tile=  128 | eps=0.465
Episode  256 | score=   904 | reward=    9.04 | moves= 107 | max_tile=   64 | eps=0.463
Episode  257 | score=   728 | reward=    7.28 | moves=  96 | max_tile=   64 | eps=0.462
Episode  258 | score=   392 | reward=    3.92 | moves=  65 | max_tile=   32 | eps=0.461
Episode  259 | score=   676 | reward=    6.76 | moves=  88 | max_tile=   64 | eps=0.459
Episode  260 | score=   612 | reward=    6.12 | moves=  86 | max_tile=   64 | eps=0.458
Episode  261 | score=   632 | reward=    6.32 | moves=  87 | max_tile=   64 | eps=0.456
Episode  262 | score=   748 | reward=    7.48 | moves= 100 | max_tile=   64 | eps=0.455
Episode  263 | score=  1336 | reward=   13.36 | moves= 137 | max_tile=  128 | eps=0.454
Episode  264 | score=   904 | reward=    9.04 | moves= 111 | max_tile=   64 | eps=0.452
Episode  265 | score=  1044 | reward=   10.44 | moves= 111 | max_tile=  128 | eps=0.451
Episode  266 | score=  2224 | reward=   22.24 | moves= 186 | max_tile=  256 | eps=0.450
Episode  267 | score=  2804 | reward=   28.04 | moves= 230 | max_tile=  256 | eps=0.448
Episode  268 | score=  1024 | reward=   10.24 | moves= 124 | max_tile=   64 | eps=0.447
Episode  269 | score=   656 | reward=    6.56 | moves=  86 | max_tile=   64 | eps=0.446
Episode  270 | score=  1348 | reward=   13.48 | moves= 136 | max_tile=  128 | eps=0.444
Episode  271 | score=  1444 | reward=   14.44 | moves= 150 | max_tile=  128 | eps=0.443
Episode  272 | score=  1304 | reward=   13.04 | moves= 142 | max_tile=  128 | eps=0.442
